venue_key,acronym,area,scope,official_2025_url,official_2026_url,openalex_source_id,openalex_2025_2026_coverage,resolution_status,inclusion_status,track_rule
aaai,AAAI,general_ai,ai_and_rai,https://ojs.aaai.org/index.php/AAAI/issue/archive,https://ojs.aaai.org/index.php/AAAI/issue/archive,S4210191458,8463,validated_series,include,"archival research papers; exclude editorials and non-paper material"
ijcai,IJCAI,general_ai,ai,https://www.ijcai.org/proceedings/2025/,https://www.ijcai.org/proceedings/2026/,S4306419999,0,official_enumeration_required,include,"main proceedings research papers"
neurips,NeurIPS,machine_learning,ai_and_rai,https://proceedings.neurips.cc/paper_files/paper/2025,https://proceedings.neurips.cc/paper_files/paper/2026,S4306420609,0,official_enumeration_required,include,"main conference plus datasets and benchmarks; preserve track"
icml,ICML,machine_learning,ai_and_rai,https://proceedings.mlr.press/v267/,pending,S4306419644,0,official_enumeration_required,include,"main PMLR volume; exclude workshops"
iclr,ICLR,machine_learning,ai_and_rai,https://openreview.net/group?id=ICLR.cc/2025/Conference,https://openreview.net/group?id=ICLR.cc/2026/Conference,S4306419637,0,official_enumeration_required,include,"accepted conference papers; exclude workshops"
cvpr,CVPR,computer_vision,ai,https://openaccess.thecvf.com/CVPR2025,https://openaccess.thecvf.com/CVPR2026,S4306417987,0,official_enumeration_required,include,"main conference papers; exclude workshops"
iccv,ICCV,computer_vision,ai,https://openaccess.thecvf.com/ICCV2025,not_held,S4306419272,0,official_enumeration_required,include_when_held,"main conference papers; biennial"
eccv,ECCV,computer_vision,ai,not_held,https://eccv.ecva.net/Conferences/2026,S4306418318,0,official_enumeration_required,include_when_held,"main conference papers; biennial"
acl,ACL,natural_language_processing,ai,https://aclanthology.org/events/acl-2025/,https://aclanthology.org/events/acl-2026/,S4363608652,0,official_enumeration_required,include,"main long and short papers; report industry track separately"
emnlp,EMNLP,natural_language_processing,ai,https://aclanthology.org/volumes/2025.emnlp-main/,pending,S4306418267,0,official_enumeration_required,include,"2025.emnlp-main only; exclude Findings, demos, industry, tutorials and workshops"
kdd,KDD,data_mining,ai,https://kdd2025.kdd.org/,https://kdd2026.kdd.org/,S4306420424,0,official_enumeration_required,include,"research track; report applied data science track separately"
aies,AIES,responsible_ai,rai,https://ojs.aaai.org/index.php/AIES/issue/archive,https://ojs.aaai.org/index.php/AIES/issue/archive,S5407048695,299,validated_series,include,"archival research papers"
facct,FAccT,responsible_ai,rai,https://facctconference.org/2025/,https://facctconference.org/2026/,S4363608463,0,official_enumeration_required,include,"archival conference papers; exclude workshops and non-archival program items"
