venue,country_code,country_name,comparison_group,paper_universe,papers_with_country,papers_missing_country,country_coverage,papers_full_count,papers_fractional_count,observed_full_share,observed_fractional_share,mar_estimated_full_count,population_share_lower_bound,population_share_upper_bound,full_rank_in_panel,fractional_rank_in_panel,rank_change_full_to_fractional
aaai,BR,Brazil,focus,3486,3189,297,0.91480207,6,3.333333,0.00188147,0.00104526,6.558796,0.00172117,0.0869191,11,11,0
aaai,US,United States,ai_frontier,3486,3189,297,0.91480207,843,580.5,0.26434619,0.18203198,921.510818,0.24182444,0.32702238,2,2,0
aaai,CN,China,ai_frontier,3486,3189,297,0.91480207,1907,1477.616667,0.5979931,0.46334797,2084.603951,0.54704532,0.63224326,1,1,0
aaai,AR,Argentina,latin_america,3486,3189,297,0.91480207,0,0,0.0,0.0,0.0,0.0,0.08519793,16,16,0
aaai,CL,Chile,latin_america,3486,3189,297,0.91480207,10,5.5,0.00313578,0.00172468,10.931326,0.00286862,0.08806655,10,10,0
aaai,CO,Colombia,latin_america,3486,3189,297,0.91480207,3,0.75,0.00094073,0.00023518,3.279398,0.00086059,0.08605852,12,13,1
aaai,MX,Mexico,latin_america,3486,3189,297,0.91480207,27,15.116667,0.0084666,0.00474025,29.514581,0.00774527,0.0929432,8,8,0
aaai,IN,India,structural_peer,3486,3189,297,0.91480207,68,46.65,0.0213233,0.01462841,74.33302,0.0195066,0.10470453,6,6,0
aaai,ID,Indonesia,structural_peer,3486,3189,297,0.91480207,2,0.833333,0.00062716,0.00026131,2.186265,0.00057372,0.08577166,13,12,-1
aaai,ZA,South Africa,structural_peer,3486,3189,297,0.91480207,1,0.5,0.00031358,0.00015679,1.093133,0.00028686,0.0854848,15,15,0
aaai,TR,Turkey,structural_peer,3486,3189,297,0.91480207,2,0.583333,0.00062716,0.00018292,2.186265,0.00057372,0.08577166,13,14,1
aaai,AE,United Arab Emirates,emerging_ai_investment,3486,3189,297,0.91480207,17,8.283333,0.00533082,0.00259747,18.583255,0.00487665,0.09007458,9,9,0
aaai,CA,Canada,developed_reference,3486,3189,297,0.91480207,135,73.333333,0.04233302,0.02299571,147.572907,0.03872633,0.12392427,4,4,0
aaai,GB,United Kingdom,developed_reference,3486,3189,297,0.91480207,253,136.783333,0.07933521,0.04289223,276.562559,0.07257602,0.15777395,3,3,0
aaai,FR,France,developed_reference,3486,3189,297,0.91480207,52,29.533333,0.01630605,0.009261,56.842897,0.01491681,0.10011474,7,7,0
aaai,DE,Germany,developed_reference,3486,3189,297,0.91480207,108,67.066667,0.03386642,0.02103063,118.058325,0.03098107,0.116179,5,5,0
acl,BR,Brazil,focus,1602,1541,61,0.9619226,1,0.5,0.00064893,0.00032446,1.039585,0.00062422,0.03870162,12,12,0
acl,US,United States,ai_frontier,1602,1541,61,0.9619226,381,313.009524,0.24724205,0.20312104,396.081765,0.23782772,0.27590512,2,2,0
acl,CN,China,ai_frontier,1602,1541,61,0.9619226,693,581.333333,0.44970798,0.37724421,720.432187,0.43258427,0.47066167,1,1,0
acl,AR,Argentina,latin_america,1602,1541,61,0.9619226,0,0,0.0,0.0,0.0,0.0,0.0380774,14,14,0
acl,CL,Chile,latin_america,1602,1541,61,0.9619226,0,0,0.0,0.0,0.0,0.0,0.0380774,14,14,0
acl,CO,Colombia,latin_america,1602,1541,61,0.9619226,0,0,0.0,0.0,0.0,0.0,0.0380774,14,14,0
acl,MX,Mexico,latin_america,1602,1541,61,0.9619226,2,0.75,0.00129786,0.0004867,2.079169,0.00124844,0.03932584,11,11,0
acl,IN,India,structural_peer,1602,1541,61,0.9619226,26,22.5,0.01687216,0.01460091,27.029202,0.01622971,0.05430712,6,6,0
acl,ID,Indonesia,structural_peer,1602,1541,61,0.9619226,4,2.833333,0.00259572,0.00183863,4.158339,0.00249688,0.04057428,9,9,0
acl,ZA,South Africa,structural_peer,1602,1541,61,0.9619226,4,2.642857,0.00259572,0.00171503,4.158339,0.00249688,0.04057428,9,10,1
