period_start,period_end,country_code,country_name,comparison_group,indicator,sector,model_count,country_total,sector_share
2026-01-01,2026-07-29,BR,Brazil,focus,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,BR,Brazil,focus,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,BR,Brazil,focus,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,BR,Brazil,focus,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,US,United States,ai_frontier,notable_ai_models,industry,24,24,1.0
2026-01-01,2026-07-29,US,United States,ai_frontier,notable_ai_models,academia,0,24,0.0
2026-01-01,2026-07-29,US,United States,ai_frontier,notable_ai_models,mixed,0,24,0.0
2026-01-01,2026-07-29,US,United States,ai_frontier,notable_ai_models,other,0,24,0.0
2026-01-01,2026-07-29,CN,China,ai_frontier,notable_ai_models,industry,19,19,1.0
2026-01-01,2026-07-29,CN,China,ai_frontier,notable_ai_models,academia,0,19,0.0
2026-01-01,2026-07-29,CN,China,ai_frontier,notable_ai_models,mixed,0,19,0.0
2026-01-01,2026-07-29,CN,China,ai_frontier,notable_ai_models,other,0,19,0.0
2026-01-01,2026-07-29,AR,Argentina,latin_america,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,AR,Argentina,latin_america,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,AR,Argentina,latin_america,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,AR,Argentina,latin_america,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,CL,Chile,latin_america,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,CL,Chile,latin_america,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,CL,Chile,latin_america,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,CL,Chile,latin_america,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,CO,Colombia,latin_america,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,CO,Colombia,latin_america,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,CO,Colombia,latin_america,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,CO,Colombia,latin_america,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,MX,Mexico,latin_america,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,MX,Mexico,latin_america,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,MX,Mexico,latin_america,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,MX,Mexico,latin_america,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,IN,India,structural_peer,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,IN,India,structural_peer,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,IN,India,structural_peer,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,IN,India,structural_peer,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,ID,Indonesia,structural_peer,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,ID,Indonesia,structural_peer,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,ID,Indonesia,structural_peer,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,ID,Indonesia,structural_peer,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,ZA,South Africa,structural_peer,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,ZA,South Africa,structural_peer,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,ZA,South Africa,structural_peer,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,ZA,South Africa,structural_peer,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,TR,Turkey,structural_peer,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,TR,Turkey,structural_peer,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,TR,Turkey,structural_peer,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,TR,Turkey,structural_peer,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,AE,United Arab Emirates,emerging_ai_investment,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,AE,United Arab Emirates,emerging_ai_investment,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,AE,United Arab Emirates,emerging_ai_investment,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,AE,United Arab Emirates,emerging_ai_investment,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,CA,Canada,developed_reference,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,CA,Canada,developed_reference,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,CA,Canada,developed_reference,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,CA,Canada,developed_reference,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,GB,United Kingdom,developed_reference,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,GB,United Kingdom,developed_reference,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,GB,United Kingdom,developed_reference,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,GB,United Kingdom,developed_reference,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,FR,France,developed_reference,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,FR,France,developed_reference,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,FR,France,developed_reference,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,FR,France,developed_reference,notable_ai_models,other,0,0,
2026-01-01,2026-07-29,DE,Germany,developed_reference,notable_ai_models,industry,0,0,
2026-01-01,2026-07-29,DE,Germany,developed_reference,notable_ai_models,academia,0,0,
2026-01-01,2026-07-29,DE,Germany,developed_reference,notable_ai_models,mixed,0,0,
2026-01-01,2026-07-29,DE,Germany,developed_reference,notable_ai_models,other,0,0,
